epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,1378.13,1.24701,0.94474,1.61846,0.8803,0.81715,0.85398,0.45806,1.6423,0.93628,2.00713,0.00112789,0.00112789,0.00112789
100,1392.04,1.24687,0.94406,1.6381,0.87821,0.8012,0.87755,0.47867,1.61625,0.88073,2.01823,0.00112239,0.00112239,0.00112239
101,1405.57,1.27516,0.97782,1.64766,0.90959,0.76543,0.86185,0.472,1.60075,0.94128,1.99216,0.00111689,0.00111689,0.00111689
102,1419.18,1.23896,0.93827,1.6156,0.86006,0.81481,0.87052,0.47625,1.57346,0.84828,2.00818,0.00111139,0.00111139,0.00111139
103,1432.65,1.25474,0.96738,1.63134,0.85295,0.80247,0.86294,0.47863,1.6226,0.89058,2.01089,0.00110589,0.00110589,0.00110589
104,1446.25,1.22793,0.93873,1.61246,0.87306,0.67901,0.80301,0.42509,1.75719,0.93276,2.084,0.00110039,0.00110039,0.00110039
105,1460.01,1.21098,0.92649,1.6085,0.91622,0.81009,0.87377,0.46568,1.65407,0.88158,2.04424,0.00109489,0.00109489,0.00109489
106,1474.67,1.21141,0.92503,1.61459,0.82677,0.70712,0.82644,0.45963,1.60127,0.90542,1.99851,0.00108938,0.00108938,0.00108938
107,1488.99,1.20008,0.96625,1.59067,0.91028,0.8768,0.89658,0.48288,1.60937,0.86224,1.98514,0.00108388,0.00108388,0.00108388
108,1502.8,1.20231,0.91795,1.60388,0.89677,0.85801,0.88392,0.4696,1.66224,0.8181,2.09987,0.00107838,0.00107838,0.00107838
109,1517.04,1.22263,0.9374,1.61967,0.8314,0.80247,0.8364,0.44439,1.64116,0.89967,2.03148,0.00107288,0.00107288,0.00107288
110,1531.24,1.22261,0.91664,1.61385,0.87622,0.87654,0.88574,0.47972,1.62327,0.77528,2.02505,0.00106738,0.00106738,0.00106738
